wavelength,Rh1_fit_norm,Rh3_fit_norm,Rh4_fit_norm,Rh5_fit_norm,Rh6_fit_norm
668,0.026487159,3.55625E-15,9.97146E-10,0.000963432,0.25889275
669,0.025296029,2.90312E-15,8.73012E-10,0.000902277,0.247352132
670,0.024132703,2.36835E-15,7.6382E-10,0.000844182,0.236033423
671,0.022996731,1.93076E-15,6.67813E-10,0.00078901,0.224939535
672,0.021887663,1.57291E-15,5.83435E-10,0.000736625,0.214072903
673,0.020805052,1.28046E-15,5.09308E-10,0.000686899,0.203435497
674,0.01974845,1.0416E-15,4.44215E-10,0.000639707,0.193028837
675,0.018717412,8.4664E-16,3.87079E-10,0.000594932,0.182854003
676,0.017711494,6.87603E-16,3.36949E-10,0.00055246,0.172911657
677,0.016730254,5.57954E-16,2.92984E-10,0.000512183,0.163202052
678,0.015773253,4.52329E-16,2.54442E-10,0.000473995,0.153725053
679,0.014840053,3.66329E-16,2.20669E-10,0.000437798,0.14448015
680,0.013930219,2.96351E-16,1.91087E-10,0.000403495,0.135466475
681,0.013043321,2.39446E-16,1.65187E-10,0.000370996,0.126682822
682,0.012178927,1.93202E-16,1.4252E-10,0.000340213,0.118127665
683,0.011336612,1.55643E-16,1.22692E-10,0.000311062,0.109799169
684,0.010515954,1.25158E-16,1.05353E-10,0.000283463,0.101695216
685,0.009716532,1.0043E-16,9.01988E-11,0.000257341,0.093813419
686,0.008937931,8.03844E-17,7.69585E-11,0.000232621,0.086151138
687,0.008179738,6.41444E-17,6.53957E-11,0.000209235,0.078705502
688,0.007441544,5.09959E-17,5.5302E-11,0.000187115,0.071473421
689,0.006722944,4.0357E-17,4.64945E-11,0.000166198,0.064451609
690,0.006023538,3.17541E-17,3.88127E-11,0.000146423,0.057636598
691,0.005342929,2.48019E-17,3.21153E-11,0.000127733,0.051024754
692,0.004680724,1.91871E-17,2.62789E-11,0.000110072,0.044612296
693,0.004036535,1.46553E-17,2.11948E-11,9.33873E-05,0.038395309
694,0.003409978,1.09998E-17,1.67679E-11,7.76287E-05,0.032369763
695,0.002800675,8.05315E-18,1.29149E-11,6.27485E-05,0.026531525
696,0.00220825,5.67927E-18,9.56284E-12,4.87011E-05,0.020876376
697,0.001632333,3.76804E-18,6.64781E-12,3.54428E-05,0.015400022
698,0.001072558,2.23024E-18,4.1139E-12,2.29325E-05,0.010098112
699,0.000528566,9.93696E-19,1.91221E-12,1.11307E-05,0.004966249
700,0,0,0,0,0
